SampleID,Az_true,El_true,AzSector,ElSector,Sector,MUSIC_Az,MUSIC_El,GCC_Angle,ILD_dB,RMS_mean,FFT_PeakFreq,SpecEntropyNorm
50,-80.7440732215275,41.9881051410737,Az_-90to-80,El_40to50,Az_-90to-80_El_40to50,-81,42,41.8489749356465,0.00417059835486259-6.2980449418902i,0.307403026699483-0.000258535409499605i,453.6328125,0.740093903099839
51,-75.0490738425575,0.121250602672959,Az_-80to-70,El_0to10,Az_-80to-70_El_0to10,-75,4,0.0680904297690452,0.0088857256708609-6.91203226779344i,0.300192978160716-1.58856247277975e-05i,559.86328125,0.740819533158388
52,-72.0381601706684,2.4521026532974,Az_-80to-70,El_0to10,Az_-80to-70_El_0to10,-72,-0,2.31604984679492,0.0123125009079478-6.70258091929529i,0.299369314184496-3.75237804111431e-05i,1791.5625,0.73992401246991
53,-74.2532098480595,3.25372133745871,Az_-80to-70,El_0to10,Az_-80to-70_El_0to10,-75,9,3.03483693956551,-0.00710570249349282-7.80907630813126i,0.289207923067151+5.37907198119997e-05i,683.3203125,0.737770619291244
54,-73.6754864509979,5.66877933995593,Az_-80to-70,El_0to10,Az_-80to-70_El_0to10,-74,-0,5.82409098151652,0.00544842189104709-7.51314834816751i,0.287352813929559-6.44779061180975e-05i,706.2890625,0.738402618935098
55,-72.974403154002,8.68833290253018,Az_-80to-70,El_0to10,Az_-80to-70_El_0to10,-73,9,8.46482917053976,-0.000836030932481837-5.67323672433252i,0.31403916206048+1.05535757002201e-06i,2273.90625,0.739340271913951
56,-79.9925860555161,2.06654594639832,Az_-80to-70,El_0to10,Az_-80to-70_El_0to10,-79,-0,2.16183291068152,0.0188185143833682-5.99558891254678i,0.313791962362001+0.000164104418157646i,2070.05859375,0.739608986190073
57,-78.0341402758121,4.79087323847736,Az_-80to-70,El_0to10,Az_-80to-70_El_0to10,-78,-0,4.83415582763728,0.000905069173018209-8.17220077668619i,0.285177622245838-8.84746339807341e-05i,2136.09375,0.736292851651791
58,-74.1040556009799,2.45498443325157,Az_-80to-70,El_0to10,Az_-80to-70_El_0to10,-74,-0,2.32281931273194,0.00734670632441058-7.48733928791281i,0.291629021112142-0.000242251901816544i,861.328125,0.739956397592539
59,-71.6788845344632,5.86732444255084,Az_-80to-70,El_0to10,Az_-80to-70_El_0to10,-72,-0,5.80423806995824,-0.00015602272546098-7.02784518446245i,0.297788697573467-0.000201311590343679i,651.73828125,0.737916215632274
60,-70.7567758817569,7.57706790671071,Az_-80to-70,El_0to10,Az_-80to-70_El_0to10,-72,-0,7.62247339677374,-0.0171352514849583-7.23162517984729i,0.293816032840384-1.57798210587354e-05i,373.2421875,0.738806911235202
61,-75.0203398054612,13.2847622444901,Az_-80to-70,El_10to20,Az_-80to-70_El_10to20,-74,11,13.0373416537813,0.0105908571445019-7.14577475247486i,0.304049515261424-0.000130790222545307i,367.5,0.738760105927474
62,-75.2329664066248,12.4181975786641,Az_-80to-70,El_10to20,Az_-80to-70_El_10to20,-75,14,12.3469171830627,0.00562703203869223-7.79729988165549i,0.291993193401112+2.31828194397626e-06i,511.0546875,0.740415780616723
63,-73.9752419923607,16.0599948332181,Az_-80to-70,El_10to20,Az_-80to-70_El_10to20,-74,18,16.139678464484,0.00612836728363203-6.13147317354463i,0.304499382020706+7.25655791479068e-05i,1254.66796875,0.735482529475257
64,-77.4746652647185,12.0758787263869,Az_-80to-70,El_10to20,Az_-80to-70_El_10to20,-78,12,12.0627945564461,-0.00208866005483055-7.12498553495809i,0.299809662272361-7.24018531352705e-06i,442.1484375,0.737984790679451
65,-70.1795396799611,13.3580834656884,Az_-80to-70,El_10to20,Az_-80to-70_El_10to20,-71,14,13.5423664460817,0.0074224620668689-6.55759945902496i,0.303994891693495+8.16296259000537e-05i,838.359375,0.739881252523432
66,-79.7422499437502,17.9875596155463,Az_-80to-70,El_10to20,Az_-80to-70_El_10to20,-80,15,17.9103288007344,-0.0113611429970617-8.06462101310471i,0.287155839575449-0.000240459269359374i,2150.44921875,0.737073295275455
67,-77.4907128521704,14.3211390627395,Az_-80to-70,El_10to20,Az_-80to-70_El_10to20,-79,16,14.5550795523279,-0.00665299289507566-7.70270274217679i,0.288024743543005-1.57786959505482e-05i,2225.09765625,0.742835701954631
68,-73.2400837177743,10.5263583446999,Az_-80to-70,El_10to20,Az_-80to-70_El_10to20,-73,14,10.6505604522451,0.00517515145820668-6.03560233322726i,0.308568029338291-0.000209927992782431i,2629.921875,0.74025771643535
69,-70.9307989148371,16.8027036211961,Az_-80to-70,El_10to20,Az_-80to-70_El_10to20,-71,16,16.8394550655692,-0.00947365938348042-7.26057223654125i,0.302715673028362+0.000203327650588447i,1013.49609375,0.740103092645954
